City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mao,39.8885,4.2658,57.76,88,20,2.3,ES,1635378382
1,barrow,71.2906,-156.7887,21.22,86,90,4.61,US,1635378382
2,vao,-22.6667,167.4833,72.45,85,14,14.74,NC,1635378383
3,warmbad,-28.45,18.7333,71.01,57,100,8.14,NA,1635378383
4,hobart,-42.8794,147.3294,70.02,62,26,1.99,AU,1635378302
5,shingu,33.7333,135.9833,61.79,59,0,4.97,JP,1635378384
6,zyryanovsk,49.7386,84.2719,40.44,97,100,2.95,KZ,1635378384
7,qaanaaq,77.484,-69.3632,20.59,95,100,10.33,GL,1635378384
8,bethel,41.3712,-73.414,54.55,84,40,5.75,US,1635378380
9,juneau,58.3019,-134.4197,44.65,96,90,3.0,US,1635378313
10,baykit,61.67,96.37,19.6,85,100,12.84,RU,1635378385
11,east london,-33.0153,27.9116,67.01,83,100,25.08,ZA,1635378386
12,albany,42.6001,-73.9662,51.8,71,90,1.01,US,1635378143
13,vaini,-21.2,-175.2,78.96,83,20,10.36,TO,1635378386
14,rikitea,-23.1203,-134.9692,74.35,78,17,6.4,PF,1635378387
15,bambous virieux,-20.3428,57.7575,71.22,88,40,5.75,MU,1635378387
16,punta arenas,-53.15,-70.9167,51.91,50,0,13.8,CL,1635378387
17,dikson,73.5069,80.5464,5.16,95,66,5.41,RU,1635378388
18,busselton,-33.65,115.3333,52.05,69,89,9.98,AU,1635378388
19,soure,-0.7167,-48.5233,81.23,75,98,11.83,BR,1635378389
20,severo-kurilsk,50.6789,156.125,43.97,90,97,8.66,RU,1635378389
21,arraial do cabo,-22.9661,-42.0278,72.48,90,100,16.4,BR,1635378390
22,cabo san lucas,22.8909,-109.9124,85.3,65,20,8.05,MX,1635378122
23,shimanovsk,52.0,127.7,35.87,71,15,3.56,RU,1635378390
24,touros,-5.1989,-35.4608,79.7,76,4,16.75,BR,1635378390
25,irati,-25.4672,-50.6511,62.71,98,68,4.59,BR,1635378345
26,hilo,19.7297,-155.09,82.13,67,1,8.05,US,1635378391
27,chokurdakh,70.6333,147.9167,4.96,90,100,5.03,RU,1635378392
28,roald,62.5833,6.1333,55.33,82,75,18.41,NO,1635378392
29,prince rupert,54.3161,-130.3201,49.69,66,79,14.97,CA,1635378243
30,mandalgovi,45.7625,106.2708,35.02,44,0,8.59,MN,1635378393
31,joshimath,30.5667,79.5667,47.52,28,0,9.71,IN,1635378393
32,turbat,26.0023,63.044,75.02,66,0,1.95,PK,1635378393
33,cape town,-33.9258,18.4232,64.09,84,75,1.01,ZA,1635378130
34,beloha,-25.1667,45.05,66.92,75,94,14.74,MG,1635378394
35,khatanga,71.9667,102.5,2.39,94,100,10.83,RU,1635378394
36,chuy,-33.6971,-53.4616,66.0,76,0,6.29,UY,1635378395
37,kloulklubed,7.0419,134.2556,84.7,68,78,9.24,PW,1635378395
38,ancud,-41.8697,-73.8203,56.73,93,1,6.42,CL,1635378396
39,pevek,69.7008,170.3133,9.12,90,100,9.84,RU,1635378396
40,esperance,-33.8667,121.9,51.64,65,88,22.35,AU,1635378396
41,marsh harbour,26.5412,-77.0636,79.25,62,39,11.77,BS,1635378397
42,shetpe,44.1667,52.1167,37.4,58,0,6.87,KZ,1635378397
43,novobohdanivka,47.0819,35.3272,39.27,62,0,4.54,UA,1635378398
44,mahebourg,-20.4081,57.7,71.26,88,40,5.75,MU,1635378399
